trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-192.49658703518256,"{0: 13, 1: 5, 2: 10, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-202.47992226360515,"{0: 12, 1: 0, 2: 10, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-32.37524381277454,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.60906243605181,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-103.10210505199377,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-96.76911290787599,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.88637201567717,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-37.924350546172434,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-113.75572821313985,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,12,-111.87553444095593,"{0: 6, 1: 0, 2: 4, 3: 2, 4: 1}",1
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-111.80601450821575,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-136.99419165011827,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-110.96932448373813,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-130.3467881629448,"{0: 12, 1: 4, 2: 8, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-53.48814682124764,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-134.03361807226347,"{0: 7, 1: 4, 2: 8, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-117.834315697402,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",35,0,-97.3395955962534,"{0: 21, 1: 6, 2: 7, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-157.47605453448253,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.25485346553374,"{0: 10, 1: 0, 2: 9, 3: 1, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,3,-55.549854565107395,"{0: 14, 1: 1, 2: 7, 3: 0, 4: 0}",1
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-147.8429446773496,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-150.01420794962885,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-45.34799689444824,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,12,-91.4643021589064,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 2}",1
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-154.14152251574967,"{0: 16, 1: 6, 2: 4, 3: 3, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-115.81650353757077,"{0: 15, 1: 0, 2: 8, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,1,-42.64282633483566,"{0: 23, 1: 1, 2: 3, 3: 2, 4: 0}",1
9,True,"{'a': 0.5, 'e': 1.0}",20,13,-29.758983188981986,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-77.39710355108956,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
